name,symbol,link
BCA MPS,BMPS.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005218752.html?lang=it
BCA POP SONDRIO,BPSO.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0000784196.html?lang=it
BCA PROFILO,PRO.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001073045.html?lang=it
BCO DESIO BRIANZA,BDB.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001041000.html?lang=it
BE,BEST.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001479523.html?lang=it
BEGHELLI,BE.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001223277.html?lang=it
BEIERSDORF,BEI.DE,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/DE0005200000.html?lang=it
BELLINI NAUTICA,BELL.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005497042.html?lang=it
BFC MEDIA,BFC.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005144768.html?lang=it
BFF BANK,BFF.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005244402.html?lang=it
BIALETTI INDUSTRIE,BIA.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0004222102.html?lang=it
BIANCAMANO,BCM.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0004095888.html?lang=it
BIESSE,BSS.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003097257.html?lang=it
BIFIRE,FIRE.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005495335.html?lang=it
BIOERA,BIE.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005387995.html?lang=it
BMW,BMW.DE,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/DE0005190003.html?lang=it
BNP PARIBAS,BNP.MI,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/FR0000131104.html?lang=it
BORGOSESIA,BO.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003217335.html?lang=it
BPER BANCA,BPE.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0000066123.html?lang=it
BREMBO,BRE.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005252728.html?lang=it
BRIOSCHI,BRI.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0000066180.html?lang=it
BRUNELLO CUCINELLI,BC.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0004764699.html?lang=it
BUZZI UNICEM,BZU.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001347308.html?lang=it
CAIRO COMMUNICATION,CAI.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0004329733.html?lang=it
CALEFFI,CLF.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003025019.html?lang=it
CALTAGIRONE,CALT.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003127930.html?lang=it
CALTAGIRONE EDIT,CED.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001472171.html?lang=it
CAMPARI,CPR.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/NL0015435975.html?lang=it
CAREL INDUSTRIES,CRL.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005331019.html?lang=it
CARREFOUR,CRR.MI,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/FR0000120172.html?lang=it
CASASOLD,CASA.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005437113.html?lang=it
CASTA DIVA GROUP,CDG.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005003782.html?lang=it
